% Model:              3D_chameleons.mph
% Version:            COMSOL 5.0.0.243
% Date:               Apr 7 2016, 15:48
% Dimension:          1
% Nodes:              5000
% Expressions:        3
% Description:        Dependent variable u2, Gradient of u2, x component, Integral on the sphere with radius r
% cln5x                   u2 (1/m)                 u2x (1/m^2)              ballint(2.5e-6[m], -u2x * rho * beta * hbar_const * c_const / m) (J/m)
2.495E-5                  69542.63739236248        -1.5865415883354607E9    7.03656031753562E-30
2.505E-5                  69701.10322701414        -1.582775104698501E9     7.021436322444973E-30
2.5149999999999998E-5     69859.19241330217        -1.5790086210615435E9    7.006269142794371E-30
2.525E-5                  70016.9049512265         -1.5752421374245853E9    6.991047972275603E-30
2.5350000000000003E-5     70174.24084078713        -1.5714756537876272E9    6.975717536123983E-30
2.5450000000000002E-5     70331.20008198402        -1.5677091701506696E9    6.960435163856265E-30
2.555E-5                  70487.78267481725        -1.563942686513712E9     6.945068195447141E-30
2.565E-5                  70643.98861928676        -1.5601762028767538E9    6.929694838575737E-30
2.575E-5                  70799.8179153926         -1.5564097192397945E9    6.914076348320116E-30
2.585E-5                  70955.2705631347         -1.552643235602837E9     6.89857206954205E-30
2.595E-5                  71110.34656251315        -1.54887675196588E9      6.882808497530535E-30
2.605E-5                  71265.04591352792        -1.54511026832892E9      6.86714035566986E-30
2.615E-5                  71419.36861617892        -1.5413437846919625E9    6.851306919254191E-30
2.625E-5                  71573.31467046628        -1.5375773010550056E9    6.835592954936957E-30
2.635E-5                  71726.88407638995        -1.5338108174180455E9    6.819933257291135E-30
2.6450000000000003E-5     71880.0768339499         -1.5300443337810903E9    6.804112099556167E-30
2.655E-5                  72032.89294314616        -1.5262778501441312E9    6.788064228786809E-30
2.665E-5                  72185.33240397874        -1.5225113665071728E9    6.772059228740179E-30
2.675E-5                  72337.39521644759        -1.518744882870215E9     6.755986397888822E-30
2.685E-5                  72489.08138055276        -1.5149783992332554E9    6.739903221360015E-30
2.695E-5                  72640.39089629425        -1.5112119155963001E9    6.723824874275371E-30
2.705E-5                  72791.32376367203        -1.5074454319593396E9    6.707652811201186E-30
2.7150000000000003E-5     72941.87998268612        -1.503678948322382E9     6.6914786374053E-30
2.725E-5                  73092.0595533365         -1.4999124646854262E9    6.675308166339536E-30
2.735E-5                  73241.8624756232         -1.4961459810484686E9    6.658983964618706E-30
2.745E-5                  73391.28874954619        -1.4923794974115095E9    6.64265040600028E-30
2.7550000000000002E-5     73540.33837510551        -1.488613013774553E9     6.626237069831344E-30
2.765E-5                  73689.0113523011         -1.4848465301375937E9    6.609852441598507E-30
2.775E-5                  73837.30768113301        -1.4810800465006359E9    6.593417394315674E-30
2.785E-5                  73985.22736160122        -1.477313562863677E9     6.576966046987575E-30
2.795E-5                  74132.77039370577        -1.473547079226719E9     6.560497065926655E-30
2.805E-5                  74279.93677744656        -1.4697805955897598E9    6.543973018884639E-30
2.8150000000000003E-5     74426.72651282369        -1.4660141119528039E9    6.527398950875675E-30
2.8250000000000002E-5     74573.13959983714        -1.4622476283158445E9    6.510826098311744E-30
2.835E-5                  74719.17603848688        -1.458481144678886E9     6.49420832483994E-30
2.845E-5                  74864.8358287729         -1.4547146610419295E9    6.47758659025885E-30
2.855E-5                  75010.11897069527        -1.45094817740497E9      6.460869900721555E-30
2.865E-5                  75155.02546425391        -1.447181693768013E9     6.44415809076411E-30
2.875E-5                  75299.55530944887        -1.4434152101310556E9    6.427431628720988E-30
2.885E-5                  75443.70850628013        -1.4396487264940977E9    6.41071146545722E-30
2.895E-5                  75587.48505474768        -1.4358822428571386E9    6.394009771372883E-30
2.905E-5                  75730.88495485154        -1.4321157592201781E9    6.377281937378567E-30
2.915E-5                  75873.9082065917         -1.4283492755832238E9    6.360543831415952E-30
2.9250000000000003E-5     76016.55480996818        -1.4245827919462633E9    6.343869651724059E-30
2.9350000000000002E-5     76158.82476498096        -1.4208163083093069E9    6.327125956535085E-30
2.945E-5                  76300.71807163004        -1.4170498246723475E9    6.3103773949491934E-30
2.955E-5                  76442.23472991542        -1.4132833410353904E9    6.293715986245567E-30
2.965E-5                  76583.37473983713        -1.4095168573984318E9    6.277085570986865E-30
2.9749999999999998E-5     76724.13810139512        -1.4057503737614737E9    6.26044636274617E-30
2.985E-5                  76864.52481458943        -1.4019838901245155E9    6.243896775470795E-30
2.9950000000000003E-5     77004.53487942004        -1.3982174064875574E9    6.227329259012761E-30
3.0050000000000002E-5     77144.16829588692        -1.3944509228505995E9    6.210809288217285E-30
3.015E-5                  77283.42506399014        -1.3906844392136421E9    6.194398238749352E-30
3.025E-5                  77422.30518372965        -1.3869179555766835E9    6.177972318187043E-30
3.035E-5                  77560.80865510549        -1.383151471939726E9     6.161614454587348E-30
3.045E-5                  77698.93547811761        -1.3793849883027656E9    6.1454034451015884E-30
3.0550000000000004E-5     77836.68565276606        -1.3756185046658108E9    6.129130729069801E-30
3.065E-5                  77974.05917905079        -1.371852021028853E9     6.11290201164748E-30
3.075E-5                  78111.0560569718         -1.368085537391895E9     6.096854754213993E-30
3.085E-5                  78247.67628652914        -1.3643190537549353E9    6.080849800801087E-30
3.095E-5                  78383.91986772278        -1.3605525701179743E9    6.064820063351932E-30
3.105E-5                  78519.78680055274        -1.356786086481021E9     6.048966518516781E-30
3.115E-5                  78655.27708501898        -1.3530196028440619E9    6.0332109296822104E-30
3.125E-5                  78790.39072112157        -1.349253119207103E9     6.01768671651929E-30
3.135E-5                  78925.12770886044        -1.345486635570147E9     6.002470646126977E-30
3.145E-5                  79059.4880482356         -1.3417201519331875E9    5.987299454253413E-30
3.155E-5                  79193.47173924702        -1.3379536682962291E9    5.972404550312493E-30
3.165E-5                  79327.07878189482        -1.3341871846592736E9    5.957505066748093E-30
3.175E-5                  79460.30917617891        -1.3304207010223124E9    5.9433338588538756E-30
3.185E-5                  79593.1629220993         -1.326654217385357E9     5.9296574996820185E-30
3.195E-5                  79725.640019656          -1.3228877337483974E9    5.915708120470258E-30
3.205E-5                  79857.74046884896        -1.319121250111438E9     5.901860741142133E-30
3.2149999999999995E-5     79989.46426967825        -1.315354766474482E9     5.88898403293059E-30
3.2250000000000005E-5     80120.81142214387        -1.3115882828375227E9    5.8760987051641566E-30
3.235E-5                  80251.78192624576        -1.307821799200566E9     5.862765557974964E-30
3.245E-5                  80382.375781984          -1.3040553155636091E9    5.850964876154783E-30
3.2550000000000005E-5     80512.5929893585         -1.3002888319266508E9    5.838794610325238E-30
3.265E-5                  80642.4335483693         -1.2965223482896917E9    5.827804251383445E-30
3.275E-5                  80771.89745901646        -1.2927558646527357E9    5.8162476072569354E-30
3.285E-5                  80900.98472129986        -1.2889893810157769E9    5.804830112138566E-30
3.295E-5                  81029.6953352196         -1.2852228973788183E9    5.793744638341538E-30
3.3050000000000004E-5     81158.02930077563        -1.2814564137418623E9    5.7847628615886474E-30
3.315E-5                  81285.986617968          -1.2776899301049001E9    5.774071376884631E-30
3.325E-5                  81413.56728679659        -1.2739234464679418E9    5.763762150488123E-30
3.335E-5                  81540.77130726152        -1.2701569628309832E9    5.754997070786696E-30
3.345E-5                  81667.59867936281        -1.2663904791940274E9    5.745723164147014E-30
